time_period,la_name,tenure,housing,number_of_bedrooms,education_phase,education_type,geographic_level,number_of_pupils,completed_properties_up_to_FY,pupil_yield,completed_properties_up_to_FYAbs,pupil_yieldAbs
201617,LA3,Market,Houses,1,SP/Alternative,Special School,District,0,19,0,0,NA
201617,LA3,Market,Houses,1,Secondary,Mainstream,District,0,19,0,0,NA
201617,LA3,Market,Houses,2,SP/Alternative,Mainstream,District,0,557,0,57,0
201617,LA4,Market,Houses,2,Post-16,Mainstream,District,0,29,0,1,0
201617,LA4,Market,Houses,2,SP/Alternative,Mainstream,District,0,29,0,29,0
201617,LA4,Market,Houses,2,SP/Alternative,Special School,District,0,29,0,1,0
201617,LA4,Market,Houses,4+,SP/Alternative,Mainstream,District,0,39,0,39,0
201617,LA4,Market,Houses,4+,SP/Alternative,Special School,District,0,39,0,1,0
201617,LA2,Market,Houses,1,SP/Alternative,Mainstream,District,0,26,0,0,NA
201617,LA2,Market,Houses,1,SP/Alternative,Special School,District,0,26,0,0,NA
201718,LA3,Market,Houses,1,Post-16,Mainstream,District,0,19,0,0,NA
201718,LA3,Market,Houses,1,SP/Alternative,Mainstream,District,0,19,0,0,NA
201718,LA3,Market,Houses,1,SP/Alternative,Special School,District,0,19,0,0,NA
201718,LA3,Market,Houses,1,Secondary,Mainstream,District,0,19,0,0,NA
201718,LA3,Market,Houses,4+,SP/Alternative,Mainstream,District,0,238,0,51,0
201718,LA1,Market,Houses,4+,SP/Alternative,Special School,District,0,99,0,99,0
201718,LA4,Market,Houses,2,SP/Alternative,Mainstream,District,0,31,0,2,0
201718,LA4,Market,Houses,4+,Early Years,Mainstream,District,0,39,0,0,NA
201718,LA4,Market,Houses,4+,SP/Alternative,Mainstream,District,0,39,0,0,NA
201718,LA4,Market,Houses,4+,SP/Alternative,Special School,District,0,39,0,0,NA
201718,LA2,Affordable,Houses,1,SP/Alternative,Mainstream,District,0,20,0,20,0
201718,LA2,Affordable,Houses,1,SP/Alternative,Special School,District,0,20,0,20,0
201718,LA2,Affordable,Houses,1,Secondary,Mainstream,District,0,20,0,20,0
201718,LA2,Market,Houses,1,SP/Alternative,Mainstream,District,0,26,0,0,NA
201718,LA2,Market,Houses,1,SP/Alternative,Special School,District,0,26,0,0,NA
201819,LA3,Affordable,Houses,2,SP/Alternative,Mainstream,District,0,671,0,48,0
201819,LA3,Market,Houses,1,SP/Alternative,Mainstream,District,0,20,0,1,0
201819,LA3,Market,Houses,1,SP/Alternative,Special School,District,0,20,0,1,0
201819,LA3,Market,Houses,1,Secondary,Mainstream,District,0,20,0,1,0
201819,LA3,Market,Houses,2,SP/Alternative,Mainstream,District,0,688,0,60,0
201819,LA3,Market,Houses,4+,SP/Alternative,Mainstream,District,0,333,0,95,0
201819,LA4,Market,Houses,2,SP/Alternative,Mainstream,District,0,64,0,33,0
201819,LA4,Market,Houses,4+,SP/Alternative,Mainstream,District,0,39,0,0,NA
201819,LA2,Affordable,Houses,1,SP/Alternative,Mainstream,District,0,23,0,3,0
201819,LA2,Affordable,Houses,1,SP/Alternative,Special School,District,0,23,0,3,0
201819,LA2,Affordable,Houses,1,Secondary,Mainstream,District,0,23,0,3,0
201819,LA2,Market,Houses,1,SP/Alternative,Mainstream,District,0,26,0,0,NA
201819,LA2,Market,Houses,1,SP/Alternative,Special School,District,0,26,0,0,NA
201920,LA3,Affordable,Houses,2,SP/Alternative,Mainstream,District,0,749,0,78,0
201920,LA3,Market,Houses,1,Post-16,Mainstream,District,0,20,0,0,NA
201920,LA3,Market,Houses,1,SP/Alternative,Mainstream,District,0,20,0,0,NA
201920,LA3,Market,Houses,1,SP/Alternative,Special School,District,0,20,0,0,NA
201920,LA3,Market,Houses,1,Secondary,Mainstream,District,0,20,0,0,NA
201920,LA3,Market,Houses,4+,SP/Alternative,Mainstream,District,0,379,0,46,0
201920,LA1,Affordable,Houses,2,SP/Alternative,Mainstream,District,0,230,0,230,0
201920,LA1,Market,Houses,2,SP/Alternative,Mainstream,District,0,471,0,471,0
201920,LA1,Market,Houses,2,SP/Alternative,Special School,District,0,471,0,67,0
201920,LA1,Market,Houses,3,SP/Alternative,Mainstream,District,0,1495,0,1495,0
201920,LA4,Market,Houses,2,SP/Alternative,Mainstream,District,0,67,0,3,0
201920,LA4,Market,Houses,4+,SP/Alternative,Mainstream,District,0,39,0,0,NA
201920,LA2,Affordable,Houses,1,Post-16,Mainstream,District,0,24,0,1,0
201920,LA2,Affordable,Houses,1,SP/Alternative,Mainstream,District,0,24,0,1,0
201920,LA2,Affordable,Houses,1,SP/Alternative,Special School,District,0,24,0,1,0
201920,LA2,Affordable,Houses,1,Secondary,Mainstream,District,0,24,0,1,0
201920,LA2,Market,Houses,1,SP/Alternative,Mainstream,District,0,26,0,0,NA
201920,LA2,Market,Houses,1,SP/Alternative,Special School,District,0,26,0,0,NA
202021,LA3,Affordable,Houses,2,SP/Alternative,Mainstream,District,0,801,0,52,0
202021,LA3,Market,Houses,1,Post-16,Mainstream,District,0,20,0,0,NA
202021,LA3,Market,Houses,1,Primary,Mainstream,District,0,20,0,0,NA
202021,LA3,Market,Houses,1,SP/Alternative,Mainstream,District,0,20,0,0,NA
202021,LA3,Market,Houses,1,SP/Alternative,Special School,District,0,20,0,0,NA
202021,LA3,Market,Houses,1,Secondary,Mainstream,District,0,20,0,0,NA
202021,LA3,Market,Houses,2,SP/Alternative,Mainstream,District,0,917,0,117,0
202021,LA3,Market,Houses,4+,SP/Alternative,Mainstream,District,0,404,0,25,0
202021,LA1,Affordable,Houses,2,SP/Alternative,Special School,District,0,247,0,17,0
202021,LA1,Market,Houses,2,SP/Alternative,Mainstream,District,0,529,0,58,0
202021,LA1,Market,Houses,2,SP/Alternative,Special School,District,0,529,0,58,0
202021,LA1,Market,Houses,3,SP/Alternative,Mainstream,District,0,1740,0,245,0
202021,LA4,Market,Houses,2,Post-16,Mainstream,District,0,66,0,-1,0
202021,LA4,Market,Houses,2,SP/Alternative,Mainstream,District,0,66,0,-1,0
202021,LA4,Market,Houses,4+,SP/Alternative,Mainstream,District,0,38,0,-1,0
202021,LA2,Affordable,Houses,1,Post-16,Mainstream,District,0,24,0,0,NA
202021,LA2,Affordable,Houses,1,SP/Alternative,Mainstream,District,0,24,0,0,NA
202021,LA2,Affordable,Houses,1,SP/Alternative,Special School,District,0,24,0,0,NA
202021,LA2,Market,Flats,3,Primary,Mainstream,District,0,20,0,0,NA
202021,LA2,Market,Houses,1,Early Years,Mainstream,District,0,26,0,0,NA
202021,LA2,Market,Houses,1,SP/Alternative,Mainstream,District,0,26,0,0,NA
202021,LA2,Market,Houses,1,SP/Alternative,Special School,District,0,26,0,0,NA
202122,LA3,Affordable,Houses,2,Post-16,Mainstream,District,0,848,0,47,0
202122,LA3,Market,Houses,1,Post-16,Mainstream,District,0,20,0,0,NA
202122,LA3,Market,Houses,1,SP/Alternative,Special School,District,0,20,0,0,NA
202122,LA3,Market,Houses,1,Secondary,Mainstream,District,0,20,0,0,NA
202122,LA1,Affordable,Houses,2,Post-16,Mainstream,District,0,271,0,24,0
202122,LA1,Affordable,Houses,2,SP/Alternative,Special School,District,0,271,0,24,0
202122,LA4,Market,Houses,4+,Post-16,Mainstream,District,0,38,0,0,NA
202122,LA2,Affordable,Flats,1,Post-16,Mainstream,District,0,442,0,10,0
202122,LA2,Affordable,Houses,1,Post-16,Mainstream,District,0,26,0,2,0
202122,LA2,Affordable,Houses,1,SP/Alternative,Special School,District,0,26,0,2,0
202122,LA2,Affordable,Houses,1,Secondary,Mainstream,District,0,26,0,2,0
202122,LA2,Market,Houses,1,SP/Alternative,Special School,District,0,28,0,2,0
201516,LA3,Market,Houses,3,SP/Alternative,Mainstream,District,1,1804,0.000554324,1804,0.000554324
201415,LA3,Market,Houses,3,SP/Alternative,Special School,District,1,1515,0.000660066,334,0.002994012
202122,LA2,Market,Flats,2,Post-16,Mainstream,District,1,1194,0.000837521,45,0.022222222
202021,LA4,Market,Flats,2,SP/Alternative,Special School,District,1,1142,0.000875657,194,0.005154639
201415,LA2,Market,Houses,3,SP/Alternative,Mainstream,District,3,3257,0.000921093,3257,0.000921093
201516,LA2,Market,Houses,3,SP/Alternative,Mainstream,District,4,4089,0.000978234,832,0.004807692
201718,LA1,Market,Houses,3,SP/Alternative,Mainstream,District,1,964,0.001037344,964,0.001037344
202122,LA4,Market,Flats,1,SP/Alternative,Special School,District,1,921,0.001085776,28,0.035714286
201617,LA2,Market,Flats,2,SP/Alternative,Special School,District,1,920,0.001086957,920,0.001086957
201516,LA3,Market,Houses,3,SP/Alternative,Special School,District,2,1804,0.001108647,289,0.006920415
202021,LA4,Market,Flats,1,SP/Alternative,Special School,District,1,893,0.001119821,893,0.001119821
202021,LA2,Affordable,Flats,2,SP/Alternative,Mainstream,District,1,821,0.001218027,821,0.001218027
201920,LA3,Market,Houses,2,SP/Alternative,Mainstream,District,1,800,0.00125,112,0.008928571
201819,LA3,Market,Houses,3,SP/Alternative,Mainstream,District,4,3146,0.001271456,579,0.006908463
201819,LA2,Affordable,Flats,2,SP/Alternative,Mainstream,District,1,782,0.001278772,26,0.038461538
201415,LA2,Affordable,Houses,2,SP/Alternative,Mainstream,District,1,773,0.001293661,773,0.001293661
201718,LA2,Affordable,Flats,2,SP/Alternative,Mainstream,District,1,756,0.001322751,756,0.001322751
202122,LA4,Market,Flats,2,SP/Alternative,Special School,District,2,1313,0.001523229,171,0.011695906
201516,LA2,Affordable,Flats,2,SP/Alternative,Special School,District,1,648,0.00154321,648,0.00154321
201718,LA3,Market,Houses,2,SP/Alternative,Mainstream,District,1,628,0.001592357,71,0.014084507
201516,LA2,Market,Houses,2,SP/Alternative,Mainstream,District,2,1247,0.001603849,244,0.008196721
201718,LA3,Affordable,Houses,2,SP/Alternative,Mainstream,District,1,623,0.001605136,119,0.008403361
202122,LA1,Market,Houses,2,SP/Alternative,Special School,District,1,618,0.001618123,89,0.011235955
201516,LA2,Affordable,Houses,3,SP/Alternative,Mainstream,District,1,616,0.001623377,97,0.010309278
202122,LA2,Market,Flats,1,SP/Alternative,Special School,District,1,575,0.00173913,38,0.026315789
201920,LA2,Market,Flats,2,SP/Alternative,Special School,District,2,1120,0.001785714,75,0.026666667
201516,LA2,Market,Houses,4+,SP/Alternative,Mainstream,District,1,543,0.001841621,112,0.008928571
201617,LA2,Market,Houses,3,SP/Alternative,Mainstream,District,9,4864,0.001850329,775,0.011612903
202021,LA2,Market,Houses,3,SP/Alternative,Mainstream,District,17,9174,0.001853063,1152,0.014756944
202021,LA2,Market,Flats,1,SP/Alternative,Special School,District,1,537,0.001862197,41,0.024390244
202021,LA2,Market,Flats,1,Secondary,Mainstream,District,1,537,0.001862197,41,0.024390244
201920,LA2,Market,Houses,3,SP/Alternative,Mainstream,District,15,8022,0.001869858,1501,0.009993338
201617,LA3,Market,Houses,3,SP/Alternative,Special School,District,4,2096,0.001908397,292,0.01369863
201415,LA2,Affordable,Houses,3,SP/Alternative,Mainstream,District,1,519,0.001926782,519,0.001926782
201718,LA2,Market,Houses,3,SP/Alternative,Mainstream,District,11,5667,0.001941062,803,0.01369863
201819,LA2,Market,Houses,2,SP/Alternative,Mainstream,District,4,2041,0.001959824,262,0.015267176
202021,LA4,Affordable,Flats,2,SP/Alternative,Mainstream,District,1,510,0.001960784,4,0.25
201920,LA4,Affordable,Flats,2,SP/Alternative,Mainstream,District,1,506,0.001976285,506,0.001976285
201617,LA3,Affordable,Houses,2,SP/Alternative,Special School,District,1,504,0.001984127,57,0.01754386
201415,LA2,Market,Houses,2,SP/Alternative,Mainstream,District,2,1003,0.001994018,1003,0.001994018
201920,LA2,Market,Flats,1,Early Years,Mainstream,District,1,496,0.002016129,3,0.333333333
201920,LA2,Market,Flats,1,SP/Alternative,Special School,District,1,496,0.002016129,496,0.002016129
201920,LA2,Market,Flats,1,Secondary,Mainstream,District,1,496,0.002016129,3,0.333333333
201819,LA2,Market,Flats,1,Post-16,Mainstream,District,1,493,0.002028398,62,0.016129032
201819,LA2,Market,Flats,1,Secondary,Mainstream,District,1,493,0.002028398,62,0.016129032
201718,LA2,Market,Flats,2,SP/Alternative,Special School,District,2,982,0.00203666,62,0.032258065
201617,LA2,Market,Houses,2,SP/Alternative,Mainstream,District,3,1440,0.002083333,193,0.015544041
201920,LA2,Market,Houses,2,SP/Alternative,Mainstream,District,5,2379,0.002101723,338,0.014792899
202021,LA4,Market,Houses,3,SP/Alternative,Mainstream,District,1,475,0.002105263,88,0.011363636
201617,LA2,Affordable,Houses,2,SP/Alternative,Mainstream,District,2,908,0.002202643,44,0.045454545
201718,LA2,Market,Houses,2,SP/Alternative,Mainstream,District,4,1779,0.002248454,339,0.01179941
202021,LA2,Market,Houses,2,SP/Alternative,Mainstream,District,6,2659,0.002256487,280,0.021428571
202122,LA2,Affordable,Flats,1,SP/Alternative,Special School,District,1,442,0.002262443,442,0.002262443
201819,LA2,Market,Houses,3,SP/Alternative,Mainstream,District,15,6521,0.002300261,854,0.017564403
201516,LA2,Affordable,Houses,2,SP/Alternative,Mainstream,District,2,864,0.002314815,91,0.021978022
201415,LA2,Market,Houses,4+,SP/Alternative,Mainstream,District,1,431,0.002320186,431,0.002320186
201415,LA2,Market,Houses,4+,SP/Alternative,Special School,District,1,431,0.002320186,141,0.007092199
201718,LA2,Market,Flats,1,Secondary,Mainstream,District,1,431,0.002320186,431,0.002320186
201718,LA3,Market,Flats,2,SP/Alternative,Mainstream,District,1,429,0.002331002,429,0.002331002
202122,LA3,Market,Flats,2,Post-16,Mainstream,District,1,429,0.002331002,0,Inf
201718,LA3,Market,Houses,3,SP/Alternative,Mainstream,District,6,2567,0.002337359,471,0.012738854
201920,LA3,Market,Houses,3,SP/Alternative,Mainstream,District,9,3798,0.002369668,652,0.013803681
201617,LA3,Market,Houses,3,SP/Alternative,Mainstream,District,5,2096,0.002385496,292,0.017123288
201516,LA2,Market,Houses,2,SP/Alternative,Special School,District,3,1247,0.002405774,244,0.012295082
201213,LA3,Market,Houses,3,SP/Alternative,Special School,District,2,825,0.002424242,316,0.006329114
202021,LA2,Affordable,Flats,2,SP/Alternative,Special School,District,2,821,0.002436054,3,0.666666667
201819,LA1,Market,Houses,2,SP/Alternative,Special School,District,1,404,0.002475248,55,0.018181818
202122,LA2,Market,Flats,2,SP/Alternative,Special School,District,3,1194,0.002512563,45,0.066666667
201314,LA3,Market,Houses,3,SP/Alternative,Special School,District,3,1181,0.00254022,356,0.008426966
201920,LA4,Market,Houses,3,SP/Alternative,Mainstream,District,1,387,0.002583979,95,0.010526316
202021,LA2,Market,Flats,2,SP/Alternative,Special School,District,3,1149,0.002610966,29,0.103448276
201718,LA2,Affordable,Flats,2,SP/Alternative,Special School,District,2,756,0.002645503,87,0.022988506
201819,LA2,Affordable,Flats,1,SP/Alternative,Mainstream,District,1,375,0.002666667,44,0.022727273
201819,LA2,Affordable,Houses,2,SP/Alternative,Mainstream,District,3,1119,0.002680965,149,0.020134228
202122,LA3,Market,Flats,1,Early Years,Mainstream,District,1,366,0.00273224,5,0.2
201415,LA3,Market,Flats,2,Secondary,Mainstream,District,1,364,0.002747253,3,0.333333333
201617,LA4,Market,Flats,2,SP/Alternative,Special School,District,1,361,0.002770083,361,0.002770083
202021,LA3,Market,Flats,1,Early Years,Mainstream,District,1,361,0.002770083,129,0.007751938
201718,LA1,Market,Houses,2,SP/Alternative,Special School,District,1,349,0.00286533,74,0.013513514
201819,LA2,Market,Flats,2,SP/Alternative,Special School,District,3,1045,0.002870813,63,0.047619048
201819,LA4,Market,Flats,2,SP/Alternative,Special School,District,2,694,0.002881844,694,0.002881844
201617,LA2,Market,Houses,4+,SP/Alternative,Mainstream,District,2,691,0.002894356,148,0.013513514
201617,LA2,Affordable,Flats,2,SP/Alternative,Special School,District,2,669,0.002989537,21,0.095238095
201718,LA2,Affordable,Flats,1,SP/Alternative,Mainstream,District,1,331,0.003021148,331,0.003021148
201112,LA2,Affordable,Flats,2,SP/Alternative,Special School,District,1,326,0.003067485,326,0.003067485
202122,LA3,Market,Houses,2,Post-16,Mainstream,District,3,958,0.003131524,41,0.073170732
201920,LA2,Affordable,Houses,2,SP/Alternative,Mainstream,District,4,1272,0.003144654,153,0.026143791
201819,LA2,Market,Houses,4+,SP/Alternative,Mainstream,District,3,948,0.003164557,157,0.01910828
201920,LA4,Market,Flats,2,SP/Alternative,Special School,District,3,948,0.003164557,254,0.011811024
201718,LA3,Market,Houses,2,SP/Alternative,Special School,District,2,628,0.003184713,71,0.028169014
202021,LA4,Affordable,Flats,1,Post-16,Mainstream,District,1,313,0.003194888,1,1
202021,LA4,Affordable,Flats,1,SP/Alternative,Special School,District,1,313,0.003194888,1,1
202122,LA4,Affordable,Flats,1,Post-16,Mainstream,District,1,313,0.003194888,0,Inf
201011,LA3,Market,Houses,3,SP/Alternative,Special School,District,1,303,0.00330033,303,0.00330033
201213,LA3,Affordable,Houses,2,SP/Alternative,Special School,District,1,299,0.003344482,72,0.013888889
201617,LA2,Affordable,Flats,1,Secondary,Mainstream,District,1,298,0.003355705,298,0.003355705
201213,LA2,Market,Houses,3,SP/Alternative,Special School,District,6,1784,0.003363229,774,0.007751938
201415,LA2,Market,Houses,3,SP/Alternative,Special School,District,11,3257,0.003377341,871,0.012629162
202021,LA3,Market,Houses,3,SP/Alternative,Mainstream,District,14,4120,0.003398058,322,0.043478261
201819,LA4,Market,Houses,3,SP/Alternative,Mainstream,District,1,292,0.003424658,68,0.014705882
201314,LA2,Market,Houses,4+,SP/Alternative,Special School,District,1,290,0.003448276,63,0.015873016
201314,LA4,Affordable,Flats,2,SP/Alternative,Special School,District,1,289,0.003460208,289,0.003460208
201617,LA4,Market,Flats,1,SP/Alternative,Special School,District,1,289,0.003460208,289,0.003460208
202122,LA2,Market,Flats,1,Secondary,Mainstream,District,2,575,0.003478261,38,0.052631579
201617,LA3,Market,Houses,2,SP/Alternative,Special School,District,2,557,0.003590664,57,0.035087719
201617,LA1,Market,Houses,2,SP/Alternative,Mainstream,District,1,275,0.003636364,275,0.003636364
201617,LA1,Market,Houses,2,SP/Alternative,Special School,District,1,275,0.003636364,47,0.021276596
201516,LA2,Market,Houses,4+,SP/Alternative,Special School,District,2,543,0.003683241,112,0.017857143
202021,LA2,Affordable,Houses,2,SP/Alternative,Mainstream,District,5,1340,0.003731343,68,0.073529412
201314,LA2,Market,Houses,3,SP/Alternative,Special School,District,9,2386,0.003772003,602,0.014950166
201819,LA3,Market,Houses,3,SP/Alternative,Special School,District,12,3146,0.003814367,579,0.020725389
201819,LA2,Affordable,Flats,2,SP/Alternative,Special School,District,3,782,0.003836317,26,0.115384615
201415,LA2,Market,Flats,1,Early Years,Mainstream,District,1,258,0.003875969,50,0.02
201415,LA2,Market,Flats,1,Secondary,Mainstream,District,1,258,0.003875969,50,0.02
201718,LA3,Market,Houses,3,SP/Alternative,Special School,District,10,2567,0.003895598,471,0.021231423
201112,LA2,Market,Houses,3,SP/Alternative,Special School,District,4,1010,0.003960396,1010,0.003960396
201415,LA2,Market,Houses,2,SP/Alternative,Special School,District,4,1003,0.003988036,250,0.016
201920,LA3,Affordable,Houses,2,SP/Alternative,Special School,District,3,749,0.00400534,78,0.038461538
201011,LA3,Market,Flats,2,Early Years,Mainstream,District,1,249,0.004016064,117,0.008547009
201920,LA2,Market,Flats,1,Post-16,Mainstream,District,2,496,0.004032258,3,0.666666667
201819,LA2,Market,Flats,1,Early Years,Mainstream,District,2,493,0.004056795,62,0.032258065
201516,LA4,Market,Flats,2,Post-16,Mainstream,District,1,246,0.004065041,33,0.03030303
201718,LA2,Affordable,Houses,2,SP/Alternative,Mainstream,District,4,970,0.004123711,62,0.064516129
201718,LA3,Market,Houses,4+,SP/Alternative,Special School,District,1,238,0.004201681,51,0.019607843
201920,LA3,Market,Houses,3,SP/Alternative,Special School,District,16,3798,0.004212744,652,0.024539877
201920,LA3,Market,Flats,1,Early Years,Mainstream,District,1,232,0.004310345,2,0.5
201920,LA3,Market,Flats,1,SP/Alternative,Mainstream,District,1,232,0.004310345,232,0.004310345
201920,LA3,Market,Flats,1,SP/Alternative,Special School,District,1,232,0.004310345,232,0.004310345
201920,LA3,Market,Flats,1,Secondary,Mainstream,District,1,232,0.004310345,2,0.5
201819,LA3,Market,Flats,1,Post-16,Mainstream,District,1,230,0.004347826,4,0.25
201819,LA3,Market,Houses,2,SP/Alternative,Special School,District,3,688,0.004360465,60,0.05
202021,LA3,Market,Houses,2,SP/Alternative,Special School,District,4,917,0.00436205,117,0.034188034
201516,LA1,Market,Houses,2,SP/Alternative,Special School,District,1,228,0.004385965,228,0.004385965
201112,LA3,Affordable,Houses,2,SP/Alternative,Special School,District,1,227,0.004405286,82,0.012195122
201718,LA3,Market,Flats,1,Primary,Mainstream,District,1,226,0.004424779,226,0.004424779
201718,LA3,Market,Flats,1,Secondary,Mainstream,District,1,226,0.004424779,226,0.004424779
201718,LA4,Market,Houses,3,SP/Alternative,Mainstream,District,1,224,0.004464286,8,0.125
201819,LA3,Affordable,Houses,2,SP/Alternative,Special School,District,3,671,0.004470939,48,0.0625
201516,LA3,Affordable,Houses,2,SP/Alternative,Mainstream,District,2,447,0.004474273,447,0.004474273
